Week 20 - 40,
Week ,Infected Nurses
20-21,2.8869
21-22,4.7925
22-23,6.0957
23-24,7.0312
24-25,7.7419
25-26,8.3131
26-27,8.8007
27-28,9.2426
28-29,9.6556
29-30,10.0574
30-31,10.4596
31-32,10.8546
32-33,11.2523
33-34,11.6613
34-35,12.099
35-36,12.5667
36-37,13.0801
37-38,13.6632
38-39,14.3019
39-40,14.9551
,
Week 91 - 97,
Week ,Infected Nurses
91-92,131.3746
92-93,214.2678
93-94,267.4039
94-95,303.8044
95-96,332.3866
96-97,357.2265
